Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,01/03/2026 - 31/03/2026
Generados,26/03/2026 11:02:39 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA
7460282536,25/3/2026,"MXN$ 2,190.19",30/3/2026,"MXN$ 2,162.25",(MXN$ 24.09),(MXN$ 3.85)
7460282536,25/3/2026,"MXN$ 2,217.83",30/3/2026,"MXN$ 2,189.53",(MXN$ 24.40),(MXN$ 3.90)
7460297294,25/3/2026,"MXN$ 17,125.59",30/3/2026,"MXN$ 16,907.07",(MXN$ 188.38),(MXN$ 30.14)
7460297294,25/3/2026,"MXN$ 5,703.77",30/3/2026,"MXN$ 5,630.99",(MXN$ 62.74),(MXN$ 10.04)
8130229545,25/3/2026,"MXN$ 1,120.05",30/3/2026,"MXN$ 1,105.76",(MXN$ 12.32),(MXN$ 1.97)
8267599470,25/3/2026,"MXN$ 1,329.30",30/3/2026,"MXN$ 1,312.34",(MXN$ 14.62),(MXN$ 2.34)
8267599470,25/3/2026,MXN$ 879.26,30/3/2026,MXN$ 868.04,(MXN$ 9.67),(MXN$ 1.55)
8488519166,25/3/2026,"MXN$ 1,717.96",30/3/2026,"MXN$ 1,696.04",(MXN$ 18.90),(MXN$ 3.02)
8488519166,25/3/2026,"MXN$ 1,000.00",30/3/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76)
9350041845,25/3/2026,MXN$ 200.00,30/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9350962107,25/3/2026,"MXN$ 1,000.00",30/3/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76)
9350962107,25/3/2026,"MXN$ 2,168.32",30/3/2026,"MXN$ 2,140.65",(MXN$ 23.85),(MXN$ 3.82)
9350962107,25/3/2026,"MXN$ 1,238.53",30/3/2026,"MXN$ 1,222.73",(MXN$ 13.62),(MXN$ 2.18)
9351619060,25/3/2026,MXN$ 200.00,30/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
9351619078,25/3/2026,MXN$ 587.85,30/3/2026,MXN$ 580.35,(MXN$ 6.47),(MXN$ 1.03)
9351619102,25/3/2026,MXN$ 862.93,30/3/2026,MXN$ 851.92,(MXN$ 9.49),(MXN$ 1.52)
9351619102,25/3/2026,MXN$ 569.70,30/3/2026,MXN$ 562.43,(MXN$ 6.27),(MXN$ 1.00)
9351619110,25/3/2026,"MXN$ 5,914.56",30/3/2026,"MXN$ 5,839.09",(MXN$ 65.06),(MXN$ 10.41)
9351619110,25/3/2026,"MXN$ 1,069.70",30/3/2026,"MXN$ 1,056.05",(MXN$ 11.77),(MXN$ 1.88)
9351619185,25/3/2026,"MXN$ 2,529.43",30/3/2026,"MXN$ 2,497.16",(MXN$ 27.82),(MXN$ 4.45)
9351619227,25/3/2026,MXN$ 150.00,30/3/2026,MXN$ 148.09,(MXN$ 1.65),(MXN$ 0.26)
9351621314,25/3/2026,MXN$ 389.90,30/3/2026,MXN$ 384.92,(MXN$ 4.29),(MXN$ 0.69)
9351621314,25/3/2026,MXN$ 400.00,30/3/2026,MXN$ 394.90,(MXN$ 4.40),(MXN$ 0.70)
9351621322,25/3/2026,"MXN$ 1,026.57",30/3/2026,"MXN$ 1,013.47",(MXN$ 11.29),(MXN$ 1.81)
7460282536,24/3/2026,"MXN$ 3,949.79",27/3/2026,"MXN$ 3,899.39",(MXN$ 43.45),(MXN$ 6.95)
7460282536,24/3/2026,"MXN$ 3,277.43",27/3/2026,"MXN$ 3,235.61",(MXN$ 36.05),(MXN$ 5.77)
7460297294,24/3/2026,"MXN$ 16,378.00",27/3/2026,"MXN$ 16,169.01",(MXN$ 180.16),(MXN$ 28.83)
7460297294,24/3/2026,"MXN$ 3,011.25",27/3/2026,"MXN$ 2,972.83",(MXN$ 33.12),(MXN$ 5.30)
8130229545,24/3/2026,"MXN$ 1,753.15",27/3/2026,"MXN$ 1,730.78",(MXN$ 19.28),(MXN$ 3.09)
8265241414,24/3/2026,MXN$ 799.75,27/3/2026,MXN$ 789.54,(MXN$ 8.80),(MXN$ 1.41)
8267599470,24/3/2026,MXN$ 400.09,27/3/2026,MXN$ 394.99,(MXN$ 4.40),(MXN$ 0.70)
8267599470,24/3/2026,MXN$ 800.12,27/3/2026,MXN$ 789.91,(MXN$ 8.80),(MXN$ 1.41)
8483272829,24/3/2026,"MXN$ 1,135.09",27/3/2026,"MXN$ 1,120.60",(MXN$ 12.49),(MXN$ 2.00)
8483272829,24/3/2026,MXN$ 854.55,27/3/2026,MXN$ 843.65,(MXN$ 9.40),(MXN$ 1.50)
8488519166,24/3/2026,"MXN$ 1,265.42",27/3/2026,"MXN$ 1,249.27",(MXN$ 13.92),(MXN$ 2.23)
9350041845,24/3/2026,MXN$ 600.00,27/3/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06)
9350962107,24/3/2026,"MXN$ 7,305.34",27/3/2026,"MXN$ 7,212.12",(MXN$ 80.36),(MXN$ 12.86)
9350962107,24/3/2026,MXN$ 700.00,27/3/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23)
9351619052,24/3/2026,"MXN$ 2,678.36",27/3/2026,"MXN$ 2,644.19",(MXN$ 29.46),(MXN$ 4.71)
9351619052,24/3/2026,"MXN$ 5,050.20",27/3/2026,"MXN$ 4,985.76",(MXN$ 55.55),(MXN$ 8.89)
9351619078,24/3/2026,MXN$ 662.58,27/3/2026,MXN$ 654.12,(MXN$ 7.29),(MXN$ 1.17)
9351619110,24/3/2026,"MXN$ 2,765.10",27/3/2026,"MXN$ 2,729.81",(MXN$ 30.42),(MXN$ 4.87)
9351619110,24/3/2026,"MXN$ 1,159.60",27/3/2026,"MXN$ 1,144.80",(MXN$ 12.76),(MXN$ 2.04)
9351619185,24/3/2026,MXN$ 762.77,27/3/2026,MXN$ 753.04,(MXN$ 8.39),(MXN$ 1.34)
9351619250,24/3/2026,MXN$ 590.04,27/3/2026,MXN$ 582.51,(MXN$ 6.49),(MXN$ 1.04)
9351619284,24/3/2026,MXN$ 300.00,27/3/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53)
9351621314,24/3/2026,"MXN$ 1,600.23",27/3/2026,"MXN$ 1,579.81",(MXN$ 17.60),(MXN$ 2.82)
9351621322,24/3/2026,MXN$ 500.00,27/3/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88)
9353699482,25/3/2026,"MXN$ 1,000.00",27/3/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76)
9353699482,25/3/2026,MXN$ 710.70,27/3/2026,MXN$ 701.63,(MXN$ 7.82),(MXN$ 1.25)
7460282536,23/3/2026,"MXN$ 7,113.57",26/3/2026,"MXN$ 7,022.80",(MXN$ 78.25),(MXN$ 12.52)
7460297294,23/3/2026,"MXN$ 1,973.57",26/3/2026,"MXN$ 1,948.39",(MXN$ 21.71),(MXN$ 3.47)
7460297294,23/3/2026,"MXN$ 22,439.55",26/3/2026,"MXN$ 22,153.22",(MXN$ 246.84),(MXN$ 39.49)
8130229545,23/3/2026,MXN$ 729.25,26/3/2026,MXN$ 719.95,(MXN$ 8.02),(MXN$ 1.28)
8130229545,23/3/2026,MXN$ 200.00,26/3/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35)
8265241414,23/3/2026,MXN$ 802.80,26/3/2026,MXN$ 792.56,(MXN$ 8.83),(MXN$ 1.41)
8267599470,23/3/2026,MXN$ 641.52,26/3/2026,MXN$ 633.33,(MXN$ 7.06),(MXN$ 1.13)
8267599470,23/3/2026,MXN$ 600.00,26/3/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06)
8483272829,23/3/2026,"MXN$ 2,356.29",26/3/2026,"MXN$ 2,326.22",(MXN$ 25.92),(MXN$ 4.15)
8483272829,23/3/2026,"MXN$ 1,436.20",26/3/2026,"MXN$ 1,417.87",(MXN$ 15.80),(MXN$ 2.53)
8488519166,23/3/2026,"MXN$ 1,150.03",26/3/2026,"MXN$ 1,135.36",(MXN$ 12.65),(MXN$ 2.02)
8488519166,23/3/2026,"MXN$ 6,033.50",26/3/2026,"MXN$ 5,956.51",(MXN$ 66.37),(MXN$ 10.62)
9350041845,23/3/2026,"MXN$ 1,212.40",26/3/2026,"MXN$ 1,196.93",(MXN$ 13.34),(MXN$ 2.13)
9350962107,23/3/2026,"MXN$ 6,703.99",26/3/2026,"MXN$ 6,618.45",(MXN$ 73.74),(MXN$ 11.80)
9350962107,23/3/2026,MXN$ 948.20,26/3/2026,MXN$ 936.10,(MXN$ 10.43),(MXN$ 1.67)
9351619052,23/3/2026,"MXN$ 2,110.32",26/3/2026,"MXN$ 2,083.40",(MXN$ 23.21),(MXN$ 3.71)
9351619102,23/3/2026,"MXN$ 1,569.70",26/3/2026,"MXN$ 1,549.67",(MXN$ 17.27),(MXN$ 2.76)
9351619102,23/3/2026,"MXN$ 1,970.82",26/3/2026,"MXN$ 1,945.67",(MXN$ 21.68),(MXN$ 3.47)
9351619110,23/3/2026,"MXN$ 3,378.35",26/3/2026,"MXN$ 3,335.24",(MXN$ 37.16),(MXN$ 5.95)
9351619110,23/3/2026,"MXN$ 1,335.29",26/3/2026,"MXN$ 1,318.25",(MXN$ 14.69),(MXN$ 2.35)
9351619185,23/3/2026,MXN$ 949.80,26/3/2026,MXN$ 937.68,(MXN$ 10.45),(MXN$ 1.67)
9351619185,23/3/2026,MXN$ 759.60,26/3/2026,MXN$ 749.90,(MXN$ 8.36),(MXN$ 1.34)
9351619227,23/3/2026,MXN$ 100.00,26/3/2026,MXN$ 98.72,(MXN$ 1.10),(MXN$ 0.18)
