Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Sucursales seleccionadas
Búsqueda por fechas,04/03/2026 - 13/03/2026
Generados,06/04/2026 01:24:21 p. m.

Envíos

Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
13/3/2026,848303451860313,50760974,"MXN$ 4,070.55",MXN$ 0.00,"MXN$ 4,070.55","MXN$ 4,070.55",(MXN$ 44.78),MXN$ 0.00,"MXN$ 4,018.61",8483034518,8483034518,,5,19/3/2026,GASOLINERA EJERCITO,(MXN$ 7.16),,13/3/2026,0
12/3/2026,848303451860312,40726525,"MXN$ 2,350.19",MXN$ 0.00,"MXN$ 2,350.19","MXN$ 2,350.19",(MXN$ 25.85),MXN$ 0.00,"MXN$ 2,320.20",8483034518,8483034518,,4,18/3/2026,GASOLINERA EJERCITO,(MXN$ 4.14),,12/3/2026,0
11/3/2026,848303451860311,50710291,"MXN$ 1,930.47",MXN$ 0.00,"MXN$ 1,930.47","MXN$ 1,930.47",(MXN$ 21.24),MXN$ 0.00,"MXN$ 1,905.83",8483034518,8483034518,,3,17/3/2026,GASOLINERA EJERCITO,(MXN$ 3.40),,11/3/2026,0
11/3/2026,000956,40717052,"MXN$ 1,600.00",MXN$ 0.00,"MXN$ 1,600.00","MXN$ 1,600.00",(MXN$ 12.10),MXN$ 0.00,"MXN$ 1,585.96",8265686337,8265686337,,2,13/3/2026,GASOLINERA DISTR GASO MEX EJERCITO,(MXN$ 1.94),,11/3/2026,0
11/3/2026,000956,40717052,MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,600.00",(MXN$ 7.50),MXN$ 0.00,(MXN$ 8.70),8265686337,8265686337,,2,13/3/2026,GASOLINERA DISTR GASO MEX EJERCITO,(MXN$ 1.20),,11/3/2026,0
10/3/2026,848303451860310,40706349,MXN$ 977.46,MXN$ 0.00,MXN$ 977.46,MXN$ 977.46,(MXN$ 10.75),MXN$ 0.00,MXN$ 964.99,8483034518,8483034518,,2,13/3/2026,GASOLINERA EJERCITO,(MXN$ 1.72),,10/3/2026,0
9/3/2026,848303451860309,40696705,"MXN$ 6,065.52",MXN$ 0.00,"MXN$ 6,065.52","MXN$ 6,065.52",(MXN$ 66.72),MXN$ 0.00,"MXN$ 5,988.12",8483034518,8483034518,,7,12/3/2026,GASOLINERA EJERCITO,(MXN$ 10.68),,9/3/2026,0
9/3/2026,848303451860310,40696705,"MXN$ 1,409.15",MXN$ 0.00,"MXN$ 1,409.15","MXN$ 1,409.15",(MXN$ 15.50),MXN$ 0.00,"MXN$ 1,391.17",8483034518,8483034518,,1,12/3/2026,GASOLINERA EJERCITO,(MXN$ 2.48),,9/3/2026,0
6/3/2026,848303451860306,50680687,MXN$ 839.60,MXN$ 0.00,MXN$ 839.60,MXN$ 839.60,(MXN$ 9.24),MXN$ 0.00,MXN$ 828.88,8483034518,8483034518,,1,11/3/2026,GASOLINERA EJERCITO,(MXN$ 1.48),,6/3/2026,0
7/3/2026,848303451860307,50680687,"MXN$ 2,039.60",MXN$ 0.00,"MXN$ 2,039.60","MXN$ 2,039.60",(MXN$ 22.44),MXN$ 0.00,"MXN$ 2,013.57",8483034518,8483034518,,3,11/3/2026,GASOLINERA EJERCITO,(MXN$ 3.59),,7/3/2026,0
8/3/2026,848303451860308,50680687,"MXN$ 2,741.32",MXN$ 0.00,"MXN$ 2,741.32","MXN$ 2,741.32",(MXN$ 30.15),MXN$ 0.00,"MXN$ 2,706.35",8483034518,8483034518,,4,11/3/2026,GASOLINERA EJERCITO,(MXN$ 4.82),,8/3/2026,0
5/3/2026,848303451860305,40657320,"MXN$ 2,178.72",MXN$ 0.00,"MXN$ 2,178.72","MXN$ 2,178.72",(MXN$ 23.97),MXN$ 0.00,"MXN$ 2,150.92",8483034518,8483034518,,2,10/3/2026,GASOLINERA EJERCITO,(MXN$ 3.83),,5/3/2026,0
5/3/2026,848303451860306,40657320,MXN$ 671.83,MXN$ 0.00,MXN$ 671.83,MXN$ 671.83,(MXN$ 7.39),MXN$ 0.00,MXN$ 663.26,8483034518,8483034518,,1,10/3/2026,GASOLINERA EJERCITO,(MXN$ 1.18),,5/3/2026,0
4/3/2026,848303451860304,50642353,"MXN$ 3,243.79",MXN$ 0.00,"MXN$ 3,243.79","MXN$ 3,243.79",(MXN$ 35.68),MXN$ 0.00,"MXN$ 3,202.40",8483034518,8483034518,,3,9/3/2026,GASOLINERA EJERCITO,(MXN$ 5.71),,4/3/2026,0
4/3/2026,848303451860305,50642353,MXN$ 379.80,MXN$ 0.00,MXN$ 379.80,MXN$ 379.80,(MXN$ 4.18),MXN$ 0.00,MXN$ 374.95,8483034518,8483034518,,1,9/3/2026,GASOLINERA EJERCITO,(MXN$ 0.67),,4/3/2026,0

