Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,01/04/2026 - 25/04/2026
Generados,15/04/2026 11:47:50 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA,Número de factura del monto del resumen de los cargos
7460282536,14/4/2026,"MXN$ 1,091.62",17/4/2026,"MXN$ 1,077.69",(MXN$ 12.01),(MXN$ 1.92),746028253660414
7460282536,14/4/2026,MXN$ 984.05,17/4/2026,MXN$ 971.50,(MXN$ 10.82),(MXN$ 1.73),746028253660415
7460297294,14/4/2026,"MXN$ 19,083.55",17/4/2026,"MXN$ 18,840.04",(MXN$ 209.92),(MXN$ 33.59),746029729460414
7460297294,14/4/2026,MXN$ 300.00,17/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),746029729460415
8130229545,14/4/2026,MXN$ 800.00,17/4/2026,MXN$ 789.79,(MXN$ 8.80),(MXN$ 1.41),813022954560414
8267599470,14/4/2026,MXN$ 767.60,17/4/2026,MXN$ 757.81,(MXN$ 8.44),(MXN$ 1.35),826759947060414
8267599470,14/4/2026,MXN$ 600.00,17/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),826759947060415
8488519166,14/4/2026,"MXN$ 26,570.20",17/4/2026,"MXN$ 26,231.17",(MXN$ 292.27),(MXN$ 46.76),848851916660414
9350041845,14/4/2026,MXN$ 500.00,17/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935004184560414
9350041845,14/4/2026,"MXN$ 2,116.74",17/4/2026,"MXN$ 2,089.73",(MXN$ 23.28),(MXN$ 3.73),935004184560415
9350962107,14/4/2026,"MXN$ 8,027.58",17/4/2026,"MXN$ 7,925.15",(MXN$ 88.30),(MXN$ 14.13),935096210760414
9350962107,14/4/2026,MXN$ 250.00,17/4/2026,MXN$ 246.81,(MXN$ 2.75),(MXN$ 0.44),935096210760415
9351619052,14/4/2026,"MXN$ 5,421.21",17/4/2026,"MXN$ 5,352.04",(MXN$ 59.63),(MXN$ 9.54),935161905260414
